"Table S1 List of all DE genes in all pairwise age comparisons, as well as in the main LRT. In the pairwise tests, only genes that were also significant in the LRT were kept. In all tests, q-values represent FDR-corrected p-values.",,,,,,,,,
,,,,,,,,,
,,LRT,,20d vs. 5d,,30d vs. 5d,,40d vs. 5d,
Gene,Mean,p-value,q-value,log2 FC,q-value,log2 FC,q-value,log2 FC,q-value
CG3603,425.3558008,0.000492575,0.003650852,1.022266595,0.014919226,0.538556795,0.229234211,-0.098639306,0.881619331
erm,316.0293038,0.000492512,0.003650852,-0.76581014,0.016006166,-0.807870384,0.00568965,-0.669068073,0.028388723
tau,4146.56649,0.000496355,0.003676348,-0.024936723,0.948707426,-0.535362512,0.005237182,-0.358156993,0.08734711
CG12299,746.1737131,0.000499473,0.003696921,-0.536774887,0.007326658,-0.49229508,0.00956621,-0.204027623,0.384445647
GstE2,1198.14506,0.000500284,0.003699589,-0.20242352,0.621308747,-0.534455501,0.052100502,-0.807371352,0.001568885
rdhB,519.1008656,0.000500517,0.003699589,-0.129407144,0.901488698,-0.695506375,0.270432896,-1.710947996,0.001107099
RnpS1,391.2406391,0.000502402,0.003710993,-0.494281728,0.015265325,-0.298678085,0.146924869,-0.554262123,0.003015912
CG5112,417.9398848,0.00050437,0.003722991,0.215160124,0.772558859,1.279788363,0.00277501,0.406346933,0.471943042
Rsf1,1494.38878,0.000507776,0.003745583,-0.068167495,0.843881378,-0.48071116,0.013002478,-0.475694682,0.01485471
Tdc2,173.4573116,0.000513249,0.003783377,-1.073919712,0.007197989,-0.961250009,0.011398259,-0.772427379,0.053876724
18SrRNA-Psi:CR41602,316.8949568,0.000514478,0.003787598,-0.495419978,0.43875909,0.797473663,0.101062719,-0.404515696,0.495336626
sff,1826.187189,0.000514521,0.003787598,-0.267328746,0.532741809,-0.575571347,0.057612579,0.335342966,0.337675669
B4,3557.183806,0.000518097,0.003805419,-0.213762741,0.491758086,-0.309494677,0.202538653,0.330711106,0.174603367
CG15894,1537.861806,0.000517416,0.003805419,-0.601309499,0.085399942,-0.676960805,0.028353846,0.111144354,0.812683463
CG9090,177.1393023,0.000518346,0.003805419,-1.468173581,0.046764348,-1.649297499,0.012356787,-1.728952625,0.008566642
SK,2875.368533,0.000517855,0.003805419,0.276362799,0.531510424,-0.066510538,0.894231998,0.789707626,0.007936055
CG3036,2699.887555,0.000519703,0.003811505,0.883866129,0.034645495,1.047064321,0.005040003,1.180001821,0.001111354
CG8560,53.93196766,0.000519879,0.003811505,-0.081322003,0.977988839,2.420064855,0.103697777,3.811733647,0.00510246
CG6412,944.796671,0.000520239,0.003811565,-0.263746302,0.420405036,-0.355935106,0.177826373,-0.778497428,0.000610141
CR46112,23.00605596,0.000521563,0.003816111,-0.865994727,0.352580248,0.025966723,0.980456201,1.25696519,0.056675384
Mapmodulin,2700.679701,0.000521317,0.003816111,0.088385698,0.696120416,-0.214156073,0.168285449,-0.31963483,0.027020794
Nf-YB,271.769062,0.000522479,0.003820229,0.611343372,0.01358082,-0.007077873,0.98564708,0.010071902,0.980648683
CG32110,35.57258713,0.000523074,0.003821999,-1.48870513,0.124307792,-0.048548557,0.971923092,1.176020591,0.164852444
trx,4840.94241,0.00052469,0.00383123,-0.007862539,0.987315534,-0.138589441,0.688498744,0.572999594,0.021819044
CG13739,829.218451,0.000525966,0.003837959,-0.105636777,0.854419947,-0.486468885,0.16122671,0.518678178,0.134730492
CG34367,127.4037958,0.000526911,0.003842269,-0.734760304,0.293183883,-1.056343846,0.062340207,-1.771983889,0.000780343
snoRNA:Psi18S-841b,41.18800223,0.000527406,0.003843292,0.873236,0.404315331,-0.788503664,0.413357225,-1.686917258,0.051752553
CG7837,277.0987336,0.000529036,0.003852574,-0.880768035,0.003991416,-0.616862192,0.041590741,-0.677514545,0.02551771
CG33144,5048.807209,0.000531397,0.003867171,0.370849493,0.106979583,0.491095134,0.012356787,0.613719129,0.001051335
FucTC,19.04091604,0.000532664,0.003873793,-4.326484391,0.102430556,1.892746477,0.400251145,-3.384207046,0.147524186
Rbcn-3A,6609.209716,0.00053426,0.003882789,-0.606262972,0.058529645,-0.146920988,0.716823294,0.310441936,0.369027562
Rcd5,748.3504559,0.000535338,0.003888019,-0.381984369,0.040794403,-0.211419206,0.273102469,-0.514094971,0.00152846
CG32113,1155.861684,0.000536833,0.003896263,-0.071477976,0.857443691,-0.154074335,0.591614839,0.47210889,0.033952779
CG14321,114.7709073,0.000537663,0.003899674,-0.783908259,0.085066462,-1.082628533,0.005639908,-1.038796495,0.009263737
CG3775,1294.644956,0.000538502,0.003903147,0.611232968,0.407231308,0.743497728,0.224928299,-0.923302046,0.120616217
CG43658,2167.722304,0.000539974,0.003907397,-0.062651345,0.855545063,0.221115529,0.316415797,0.481329225,0.009823896
CG7920,9098.865827,0.00054017,0.003907397,0.06493785,0.913812814,0.123876871,0.788722091,-0.79507468,0.009982408
Reph,2500.450109,0.000539694,0.003907397,-0.088229797,0.82063688,-0.643066549,0.002664814,-0.044132468,0.906460238
p24-1,994.193703,0.000541418,0.00391381,-0.123634477,0.722244234,0.069137099,0.836659406,-0.585379604,0.005775446
CR43334,869.2256542,0.000542059,0.003915837,0.658400455,0.042480253,0.14208877,0.736710546,0.796189037,0.005332236
yellow-g,50.86283246,0.000544647,0.003931909,0.577384449,0.628318361,2.246178024,0.001985105,1.583582046,0.044549829
gammaCOP,1472.504733,0.000547881,0.003952626,-0.4121002,0.137590902,0.347831147,0.175819193,0.003001988,0.993472627
CG13293,605.4350257,0.000550075,0.00396221,-0.212786625,0.638089185,-0.476425014,0.132554386,0.43141709,0.190639401
CG31708,393.6803658,0.000550673,0.00396221,-0.612322959,0.158490116,-1.124051128,0.001352567,-0.237131594,0.63273438
Pex19,1201.311441,0.000550556,0.00396221,-0.322443813,0.225173028,-0.12670711,0.669305957,-0.666030833,0.001224976
phl,969.1673848,0.000550207,0.00396221,-0.426671482,0.007370922,-0.407333005,0.006638919,-0.224222124,0.196367551
CG16791,3970.02479,0.0005523,0.00396865,-0.35335667,0.399926951,-0.448805984,0.192504096,0.43627144,0.217550077
E(bx),4549.622007,0.000551991,0.00396865,-0.088044767,0.781389554,-0.380513163,0.048220231,0.219559145,0.32341517
CG3321,2519.457262,0.00055599,0.003992518,0.050640286,0.905384129,-0.264531741,0.311388044,-0.604736359,0.005776292
RpS2,15864.58101,0.000558805,0.004010074,0.291765952,0.27869043,0.262277647,0.284126528,-0.317139748,0.18242086
mRpL45,427.7507715,0.000561652,0.004027833,-0.367358039,0.127852571,-0.049189244,0.881064746,-0.583209926,0.003735138
mspo,1161.623009,0.000562275,0.00402964,-0.770299973,0.017051999,-0.860598285,0.003494814,-0.55787743,0.084331417
GATAd,1430.030876,0.000567626,0.004065297,0.124534239,0.549381374,-0.249801848,0.095609983,0.177516838,0.285526834
CG9231,515.0505448,0.000568184,0.004066609,0.121036117,0.726173911,-0.348765366,0.132286154,-0.489472311,0.026966375
UBL3,1794.031956,0.00057006,0.004074654,-0.257747675,0.279220342,-0.603411494,0.00074729,-0.294350941,0.158639638
fas,1407.445465,0.000569981,0.004074654,-0.608453223,0.120297226,-0.726450465,0.032169474,0.162902987,0.736869781
CG42232,1541.710961,0.000571068,0.004079167,-0.295054472,0.444028785,-0.52440802,0.071258663,0.317014703,0.341097031
btl,149.6903756,0.000581243,0.004149108,-1.141243638,0.044039,0.415696445,0.509597068,-0.573814562,0.345254931
pico,2339.50755,0.00058236,0.004154344,0.108696377,0.805642004,0.039885594,0.927015736,0.694140809,0.005478811
sno,2171.046914,0.000583063,0.004156624,-0.394962564,0.165971552,-0.541285632,0.024000807,0.115995922,0.737150039
Pomp,792.7093198,0.000586033,0.00417505,0.550226436,0.019161807,0.399115263,0.083013913,-0.026847356,0.944708205
CG9686,9209.967416,0.000589293,0.004195517,0.571336181,0.02943911,0.226869295,0.445033938,-0.145920103,0.665646341
CG6767,10444.72259,0.000590536,0.004201609,1.190002643,0.016055561,0.81439421,0.097668359,-0.031671883,0.970448475
Aats-val,1099.159375,0.000591201,0.00420358,-0.053605158,0.92027783,0.691068328,0.011514666,0.457904724,0.130969693
CG42346,1274.98779,0.000595003,0.004227838,-0.758075127,0.110003099,-0.9232742,0.024444875,0.151663152,0.806967675
CG10628,137.5464016,0.000597762,0.004241705,0.364031673,0.409454564,-0.022495723,0.969194492,-0.743234489,0.033949683
CG10674,266.683784,0.000598011,0.004241705,0.440437582,0.178900217,0.333350476,0.28918981,-0.386788758,0.227330609
CG3008,978.0111971,0.000598129,0.004241705,0.560802085,0.003558713,0.490778326,0.008232507,0.316191991,0.127820181
ninaB,1115.233288,0.000599363,0.004247678,-0.480845505,0.166568859,-0.678442977,0.019697854,-0.866487338,0.001800596
CG6041,109.2600617,0.000600791,0.004255014,-0.436628344,0.800700411,2.266628053,0.02258088,1.955945569,0.058633215
fru,2759.931862,0.000601582,0.004257834,-0.231769439,0.5973755,-0.615415243,0.039007498,0.297283859,0.408133713
CG1444,3009.263451,0.000602795,0.004263635,-0.208110101,0.675864371,0.716312658,0.024051742,0.06194321,0.907976235
CG1494,5.652297765,0.000604873,0.004275516,-5.713690222,0.004563124,-0.389646539,NA,-2.074933354,NA
CG18067,16290.21462,0.000605264,0.004275516,1.019586734,0.064848523,0.85610361,0.097668359,1.590527945,0.000513516
RhoGAP71E,1706.526131,0.000606319,0.004280181,0.055004102,0.898384611,-0.0208618,0.958000665,0.581333215,0.00895873
CG14024,752.8157908,0.000607457,0.004285417,-0.342434652,0.317707364,-0.851418642,0.000749086,-0.384733557,0.199400799
CG33494,1001.927739,0.00060787,0.004285541,1.416577709,0.003206244,1.348960481,0.003255402,1.196473603,0.010531126
PIP4K,1958.114322,0.000610043,0.004298065,-0.031147382,0.893850811,-0.321875134,0.008345211,0.043250935,0.820740295
CG33998,31.84044153,0.000611932,0.004307442,-0.324769683,0.780036005,0.116741847,0.917979931,1.528092038,0.019074517
dysc,4016.075745,0.000612169,0.004307442,0.071465107,0.910824545,-0.506953064,0.168030306,0.564723325,0.121051819
CG34331,722.5684775,0.000613556,0.004314387,0.65926708,0.203196687,0.379521077,0.471144657,-0.67132186,0.157564642
CG40498,1105.194022,0.000614309,0.004314387,-0.199954214,0.635825582,-0.728410437,0.007141588,0.107160183,0.796491871
SelG,1173.642074,0.00061435,0.004314387,0.408672374,0.054282071,0.334609498,0.094841272,-0.105717605,0.699051572
CG13108,219.0225018,0.000615803,0.004321789,-0.672201512,0.149728535,-0.957528451,0.014391583,-1.133426309,0.003045477
CR42491,310.4696601,0.000619065,0.004339062,0.183973387,0.72704239,0.489574959,0.169687501,-0.565347537,0.117843809
bigmax,480.1598013,0.000618669,0.004339062,0.342641908,0.408880999,0.031516921,0.953104792,-0.655786355,0.040844769
CG16854,490.0898043,0.000620184,0.004344091,-0.768469052,0.006007423,-0.645164872,0.016368474,-0.281776664,0.393909954
AP-2sigma,629.1933274,0.000629047,0.004400587,-0.435138839,0.161191631,-0.52719168,0.047943995,-0.81167957,0.001086268
CG42238,976.623375,0.000629398,0.004400587,0.083117252,0.859909518,-0.095092051,0.807651937,0.637959749,0.013373232
CadN,3679.425447,0.000629468,0.004400587,-0.314466556,0.632386133,-0.578476964,0.231904847,0.684040779,0.14797456
CG32532,162.1265512,0.000631397,0.004411229,-0.778825104,0.140073302,-0.933901278,0.040204931,0.268554366,0.661170644
qkr58E-3,1098.518902,0.000633622,0.004423923,-0.231497435,0.407231308,-0.619842489,0.001828527,-0.445109945,0.036386641
CG16926,3355.495497,0.000636681,0.004438372,1.615657293,0.002792873,1.244210018,0.019697854,0.619933863,0.326920314
CG6282,966.9254878,0.00063692,0.004438372,-0.449228092,0.166675782,-0.605892827,0.026812904,0.139394093,0.722099268
RpS16,7400.047937,0.000636407,0.004438372,0.393123389,0.133769572,0.593887692,0.006257281,0.033728587,0.929075206
Sesn,2627.731441,0.000638574,0.004447038,0.411841062,0.018427026,0.396637291,0.014808801,0.076111179,0.751490785
CG18809,665.6141814,0.000641855,0.004465205,-0.635086078,0.007197989,-0.584581903,0.009206856,-0.427572587,0.076618743
Pak3,2028.438672,0.000642007,0.004465205,0.413936245,0.15360944,0.388377723,0.140506282,0.778255949,0.000674121
skap,8667.224174,0.000644162,0.00447732,0.551908453,0.122968544,0.088830407,0.85432697,-0.413854663,0.23870671
CG13325,155.4856084,0.000645149,0.004480179,-1.554852673,0.205271442,1.127680806,0.333763047,1.664784771,0.121313434
msi,3505.006975,0.0006454,0.004480179,-0.057147633,0.917636356,-0.50187788,0.098045865,0.415393192,0.200429957
RpS28b,10865.42723,0.000646822,0.004487173,0.477632434,0.032363127,0.25029599,0.290795779,-0.115873961,0.690064081
CG34015,159.1443479,0.000649818,0.004500268,0.609128787,0.105351662,-0.072561776,0.892880376,-0.416322976,0.290525657
CG34034,16.3970627,0.000649956,0.004500268,4.085740894,0.003932689,1.965069099,0.222972494,4.029898989,0.002473637
Tl,1894.266464,0.000649774,0.004500268,-0.400424394,0.200748167,-0.265446406,0.391765691,0.350087753,0.235167574
Ela,1953.386293,0.000652471,0.004514802,0.262287857,0.713064637,0.535465001,0.297720487,-0.863537661,0.063416859
CG3621,703.6795515,0.000653062,0.004516008,-0.265537905,0.393342018,-0.31630718,0.222449477,-0.743792883,0.00071124
CG10089,827.6993877,0.000655347,0.004528913,-0.446185871,0.214100676,-0.845828399,0.002945654,-0.069948111,0.885312768
CG14535,629.5840384,0.000657177,0.00453867,-0.624280091,0.058210803,-0.730839622,0.012185646,-0.033055385,0.947696897
NitFhit,425.048808,0.000662076,0.004569592,-0.29765861,0.333693524,0.125738301,0.701556299,-0.577284396,0.016106456
CG7956,1331.643432,0.00067152,0.004631822,-0.367409367,0.040215214,-0.464152269,0.003141119,-0.149706018,0.466438385
Liprin-alpha,1837.051223,0.000673331,0.004641355,-0.104665563,0.722597543,-0.173055336,0.439127102,0.352281346,0.065472993
retinin,1776.360922,0.00067466,0.00464756,-1.710229764,0.407167379,-3.713029751,0.014286889,-4.591753532,0.001527655
CG1307,343.3553649,0.000676422,0.004650997,-0.190208171,0.648168448,-0.100855989,0.801706776,-0.825350702,0.001530213
jvl,2677.758002,0.000675744,0.004650997,-0.115692841,0.660007997,0.078067361,0.746088793,0.389127133,0.02160688
mRpL41,231.5299208,0.000676446,0.004650997,0.104649668,0.83845072,-0.37674922,0.253681411,-0.756058206,0.009823896
CG9328,2665.85899,0.000682483,0.004689531,-0.316240713,0.193490155,-0.618113815,0.001320251,-0.414210466,0.046154797
Tusp,1056.556097,0.000686435,0.004713695,-0.643672066,0.033612982,-0.723995782,0.007980943,-0.144280941,0.717990987
CG15168,268.2983131,0.000686989,0.004714511,0.353421664,0.306320479,0.289447697,0.365245383,-0.455978164,0.132048755
CG13248,1102.010104,0.000689181,0.004725426,-0.725002293,0.018417667,-0.694562502,0.015348439,-0.142028415,0.734112026
sta,25221.08919,0.000689452,0.004725426,0.459848507,0.198845196,0.465112137,0.144684721,-0.33224399,0.346246902
Mdh1,6854.314349,0.00069696,0.004773866,-0.020876916,0.968345026,0.217387688,0.482319483,-0.559605831,0.026535999
Vinc,1537.905483,0.000698167,0.004776097,0.54051081,0.087350665,0.737309386,0.006324346,0.818976577,0.001830294
mtd,12547.18273,0.000697801,0.004776097,-0.073657824,0.812582865,-0.148913845,0.509597068,0.362841468,0.050242626
GlcT-1,566.1208025,0.000699492,0.004782145,0.150041025,0.798735042,0.976680635,0.003259828,0.549294224,0.147628132
RhoGDI,2994.433997,0.000702131,0.004794137,0.546986926,0.003141638,0.253002403,0.214715581,0.427982263,0.019490735
spict,788.2522107,0.000701933,0.004794137,0.703830628,0.032275015,0.896147481,0.001995586,0.790217167,0.007689148
AdSS,4028.286295,0.000705281,0.004812612,0.492150225,0.210249871,1.012263446,0.000962607,0.658094205,0.04801357
CR45409,162.3444421,0.000711265,0.004850387,-0.099896753,0.878426607,-0.358432482,0.400251145,0.684242896,0.058820969
CG11722,208.4142105,0.000715234,0.00486221,-0.391407857,0.286384496,-0.430754151,0.171501589,-0.934877157,0.000780559
CG6765,638.7009126,0.000714136,0.00486221,-0.551871831,0.103959792,-0.863732396,0.002221542,-0.200969731,0.610892103
CR43459,2177.655762,0.000715242,0.00486221,0.006331659,0.989586958,0.046070351,0.912580661,0.6305751,0.009193179
Rab7,4456.36391,0.000714449,0.00486221,0.447009578,0.002014636,0.29255865,0.04648769,0.210506866,0.194604844
snoRNA:lola-a,47.21581382,0.000714336,0.00486221,0.66139751,0.481614321,0.564805247,0.497793922,1.917783999,0.001947745
ckn,2242.997323,0.000718925,0.004884181,-0.340152532,0.040360302,-0.357164487,0.017159587,-0.024246963,0.926237361
CG6418,910.6809303,0.000720854,0.004891273,-0.446485928,0.013240147,-0.425950254,0.011514666,-0.407245353,0.017829099
CG7384,354.5431521,0.000720871,0.004891273,0.869057168,0.133191878,1.164662161,0.017010743,-0.126709169,0.875549534
CG1146,1115.898532,0.000721612,0.004893236,0.578178296,0.056150545,0.842205278,0.001119129,0.610753897,0.026033556
disp,896.947677,0.000727605,0.004930789,-0.362512221,0.252472577,-0.075032001,0.850353042,0.422635871,0.123169989
RASSF8,1429.534307,0.000740132,0.005012546,-0.265495681,0.134214669,-0.469817998,0.001083691,-0.206299325,0.232138039
Taz,1037.74164,0.000743102,0.005029512,0.258771251,0.284952169,-0.088295787,0.746088793,-0.344166934,0.094106659
Ilp2,4830.106529,0.000746706,0.005050751,0.319597136,0.459148295,0.420700995,0.226946729,-0.490691295,0.152045296
spen,12861.67144,0.000749676,0.00506452,-0.035253647,0.947472812,-0.18002973,0.617357284,0.582436178,0.034561831
unc80,5649.407603,0.000749361,0.00506452,-0.672517376,0.050496976,-0.738609909,0.016322132,-0.031382444,0.954456381
RpL14,13562.36386,0.00075183,0.005075903,0.466308347,0.04978955,0.440212491,0.04354936,-0.044712928,0.900942609
Ptp69D,1249.029587,0.00075421,0.005088806,0.175369425,0.531172529,-0.103216222,0.701592122,0.458429692,0.017108249
Ank2,11017.17301,0.000757349,0.005106254,-0.390672924,0.35540068,-0.562327622,0.096282394,0.352768403,0.361026591
CG10082,3261.610183,0.000757739,0.005106254,-0.451870782,0.03349557,-0.441533033,0.024051742,-0.025032349,0.9402788
CG15661,311.6882019,0.000762115,0.005132552,0.908309024,0.117964432,1.227451341,0.012546031,1.552402651,0.000902031
CG7407,367.6299104,0.000763018,0.005135443,-0.452849466,0.134214669,-0.649417264,0.010382483,-0.710907966,0.004675731
GluRIB,972.2885226,0.000766324,0.005148099,-0.578837219,0.166568859,-0.620005616,0.092139599,0.295677386,0.508146261
Msp300,21279.00164,0.00076626,0.005148099,0.063110746,0.933847352,0.036293899,0.958000665,0.993321751,0.010531126
Rgk1,1222.526033,0.000766088,0.005148099,-0.323721743,0.263924118,-0.410613484,0.089582311,0.229132616,0.419995424
CG5676,1342.944946,0.000767463,0.00515256,0.14379696,0.621267034,-0.27815572,0.18590987,-0.392163847,0.04801357
HPS1,517.1020707,0.00076928,0.005161558,-0.615092046,0.008953863,-0.550307512,0.013862016,-0.488734983,0.035314453
CG4393,1462.464086,0.000771297,0.005168982,0.076301459,0.876179203,0.178088968,0.613502917,0.728129176,0.004384734
Pitslre,3228.59248,0.00077134,0.005168982,0.029101547,0.935398727,-0.287165098,0.153736591,0.296250957,0.145075974
Aldh,14963.08907,0.000773448,0.005177978,0.302262841,0.595200818,0.375898584,0.41428541,-0.742036667,0.061347736
CG43347,2667.266607,0.000773638,0.005177978,-0.635379103,0.07151551,-0.574974914,0.077032057,0.157759473,0.726991014
Mkk4,2048.305506,0.000778507,0.005207344,-0.08495683,0.731081911,-0.255750522,0.116713972,0.217709135,0.208150599
CR45321,15.97879343,0.000779325,0.0052096,3.196046157,0.002112472,2.918348893,0.003603646,2.468296623,0.019958839
CG14100,222.9003025,0.00078006,0.005211303,-0.406875077,0.076932218,-0.433745416,0.033196031,-0.598216459,0.002598576
CG6910,15946.46317,0.000781498,0.005217692,0.922916801,0.048849634,0.444946509,0.377500688,-0.310515984,0.579186324
Rac2,1099.843504,0.000783667,0.005228949,0.615923004,0.012577981,0.536065017,0.022665962,0.677196633,0.002590287
ATP7,1810.702177,0.000789931,0.005267269,0.277546022,0.422900349,0.77521054,0.001407531,0.446834754,0.101788453
AdSL,1520.075536,0.000790382,0.005267269,1.177776548,0.008568407,0.936293589,0.032169474,0.244304545,0.690064081
lox2,42.0317468,0.00079676,0.00530651,-1.88201363,0.316359245,-3.094269904,0.038594939,-4.705609807,0.001415887
CG15440,215.8685791,0.000806522,0.005367156,-0.29558339,0.355865264,-0.033832467,0.934067208,-0.714550999,0.002939291
RpS13,11505.20021,0.00080689,0.005367156,0.027784275,0.96844407,0.378110671,0.344213823,-0.687054428,0.049521827
Ten-a,5847.267831,0.000807352,0.005367156,-0.354977228,0.583356734,-0.486337334,0.343741161,0.714074076,0.132130705
RpL12,10143.73762,0.000809017,0.005374927,0.396212222,0.206646253,0.472422133,0.079230047,-0.23193233,0.478300299
CG14057,51.09885282,0.000809824,0.005376992,0.521361332,0.261291063,0.147003161,0.790283561,-0.772085768,0.07648747
dnc,6010.544118,0.000813562,0.005398506,-0.009628121,0.987315534,-0.427978711,0.195482793,0.500208002,0.122837234
Pfk,4260.868297,0.000815713,0.005409466,-0.42428564,0.020220911,-0.339707969,0.052554292,-0.476123873,0.003949253
CG31704,309.8763991,0.000816939,0.005414282,1.295654928,0.050432227,1.729961258,0.002521719,1.769251463,0.001738604
CG9505,310.5575931,0.000821815,0.005443267,1.144586209,0.072478009,1.030692557,0.080105523,-0.338357655,0.672031688
CG10306,1672.876699,0.000823275,0.00544628,0.487099272,0.119882236,0.256772109,0.432247434,-0.320741004,0.312673457
CG8370,1070.914063,0.000823059,0.00544628,-0.118699924,0.859292498,0.856477614,0.020184092,-0.001401558,0.997689529
CG11899,1769.761283,0.00082396,0.005446713,1.205181124,0.051103827,1.492500333,0.005924649,0.27275189,0.735777485
CR46089,21.61865886,0.000824346,0.005446713,4.0170567,0.014662736,3.220571241,0.04426277,5.176982333,0.000317771
CG10799,651.5633298,0.000827658,0.005458615,1.601071129,0.002107964,1.040630631,0.049791916,1.349218834,0.007889605
CG45002,3016.052691,0.000827532,0.005458615,-0.577421607,0.169489307,-0.877998211,0.01148003,0.059623311,0.922437975
nuf,3836.711327,0.000827074,0.005458615,0.373390531,0.037876128,0.104807384,0.634917402,0.437503524,0.006163857
tipE,699.1434634,0.000829338,0.005466363,-0.399575124,0.394227554,-1.046066773,0.001871599,-0.135398403,0.796664256
mRpS16,146.7137393,0.000831063,0.005474407,-0.140056784,0.768562719,-0.336683149,0.310502938,-0.897965133,0.001493029
CG4911,2710.135311,0.000839049,0.005523222,0.20471126,0.235509597,-0.020715206,0.929414423,0.35243408,0.010428736
CG8032,668.3718551,0.000839493,0.005523222,-0.237053033,0.244305068,-0.509950679,0.001141578,-0.185506701,0.345203157
Aplip1,2031.0776,0.000845167,0.00555718,-0.633466362,0.019476136,-0.697703443,0.004808603,-0.335580304,0.252275461
CG10479,513.7307604,0.000850256,0.005587247,-0.307410281,0.571152399,-0.747644126,0.04648769,-1.07264125,0.002398702
inaE,1315.320565,0.00085113,0.005589605,-0.425337331,0.203867868,-0.43080356,0.14782459,0.283295266,0.399184575
CG3618,1544.63367,0.000854081,0.005605586,-0.407735284,0.069864364,-0.585038749,0.002248091,-0.416389364,0.042506866
l(3)05822,2472.889403,0.000855139,0.005609134,0.455978467,0.022720245,0.547032626,0.00228076,0.419443984,0.026612429
unc-119,1230.077506,0.000859539,0.005634584,-0.254033839,0.25500636,-0.494993849,0.004357502,-0.446709239,0.011942427
CG42596,843.1900691,0.000868871,0.005692311,-0.255170077,0.23585391,-0.477883537,0.004791781,-0.020981276,0.944629687
sba,2051.131103,0.000872639,0.005713547,-0.378219463,0.058102071,-0.498564591,0.003925277,-0.131835657,0.577273128
CG7766,5115.396922,0.000873651,0.005716718,0.19426569,0.365626006,0.493448378,0.001477629,0.17981519,0.357096789
Tep4,2227.23947,0.000876589,0.00573248,0.620473489,0.285210661,1.123244114,0.013002478,1.350331111,0.001836104
CG42269,11.95915872,0.000877913,0.005737675,-5.197659992,0.005431966,-1.642819566,0.271014366,-1.854967095,0.219719319
Scamp,2025.850299,0.000878813,0.005740094,0.3610332,0.051629701,0.348478283,0.039724666,0.507125122,0.001320336
Eip75B,6538.297324,0.000880847,0.005749913,-0.022713757,0.959236699,-0.175677501,0.535819235,0.464128586,0.042141759
Fas3,1069.006421,0.000882061,0.005754371,0.164952954,0.726676073,0.019572684,0.969934873,0.769281968,0.007245859
CG12338,1104.247977,0.000884911,0.005769493,-0.020628501,0.981648309,-0.329953167,0.585598551,-1.338935698,0.002454044
spirit,220.5900944,0.000886148,0.005774085,0.645895872,0.69572981,2.920572755,0.003357756,2.257880841,0.03128248
upd3,40.7806561,0.000894983,0.005828144,3.998395005,0.023830667,3.576809955,0.032051014,5.702409796,0.000158466
CG9777,31.27799597,0.000896543,0.005834799,-0.531629565,0.656350992,-0.129883887,0.918245103,1.514742728,0.04275765
Acyp2,147.0669361,0.000897287,0.005836136,0.254698598,0.556470594,-0.256385479,0.491922825,-0.686514361,0.029193824
Bruce,6436.059334,0.000904455,0.005875707,-0.090159807,0.859292498,0.199438833,0.589731779,0.690279095,0.013412151
RpS3A,20446.17949,0.000904321,0.005875707,0.394320899,0.246830635,0.329829827,0.297916371,-0.37696189,0.226862655
CG32695,772.3884721,0.000906618,0.005886228,1.585073822,0.002281973,1.301515806,0.010562904,0.940406709,0.086843006
Ubi-p5E,4033.598329,0.000913599,0.005928002,0.29052748,0.03165037,-0.052448087,0.773912192,0.172370434,0.22501482
RpS3,19616.58732,0.000916651,0.005944242,0.35999396,0.302924,0.245965887,0.464160508,-0.439231459,0.142675583
CG4300,933.5040663,0.000917297,0.005944873,-0.312018764,0.265857163,-0.628050728,0.003683271,-0.535338763,0.016859454
Mtpalpha,2501.378339,0.00092182,0.005970617,0.41385956,0.217072118,0.309229938,0.338491777,-0.375829104,0.231822744
CG11771,1074.441183,0.000927321,0.006000875,-0.282469843,0.103959792,-0.055032708,0.805336031,-0.410832112,0.005132008
CG30022,698.9149451,0.000927599,0.006000875,0.674390759,0.102967121,0.976852105,0.00494468,1.021518465,0.002833413
Cpr,4115.066292,0.000929842,0.006011798,0.186911493,0.763023912,0.88442237,0.017189422,-0.147362219,0.793003622
CG30026,869.6100902,0.000931027,0.006012281,1.921016503,0.004662523,1.926315114,0.002638596,1.853434996,0.00386612
CG42265,3158.745716,0.000930661,0.006012281,-0.810500415,0.078606368,-1.174189072,0.002730856,-0.325397332,0.535278075
CG30428,303.2881017,0.000933521,0.00602121,-0.040561836,0.928286322,-0.292887934,0.266523606,0.41495427,0.088139437
Galphas,2174.617992,0.000933184,0.00602121,-0.201280504,0.365650571,-0.511143932,0.001541706,-0.310845658,0.082501252
Ranbp16,1266.623886,0.000936653,0.006037818,-0.126712789,0.680582744,-0.26638693,0.222907251,0.309444338,0.148856654
beat-Vb,370.3432892,0.000941352,0.006064503,-0.873975322,0.027907552,-1.008425759,0.004853578,-0.410925034,0.348873951
Edem2,1206.871111,0.000943446,0.006074382,-0.173051656,0.538556561,0.374314017,0.057097232,0.244797135,0.273049954
CG9399,1016.261352,0.000946312,0.006089214,-0.166305735,0.633350094,-0.210254805,0.451929687,-0.694796063,0.001398839
RpL7,19887.81507,0.000951379,0.006118186,0.234723971,0.662685695,0.356652524,0.390159283,-0.66245337,0.06687388
CG3156,180.2522703,0.00095231,0.006120073,-0.92661579,0.002406966,-0.268459474,0.457518403,-0.248188282,0.515144617
CG6136,117.1337842,0.000952802,0.006120073,-0.640382948,0.150340324,0.205809333,0.681128691,0.522509853,0.201638665
