treat,treat_no,sub,no,death_date,time,exclude,censor,censor2,censor3,source_pop,eclosion_date,Experiment_date,age,exp_age,tot_eggs,tot_offspring,viability,avg_eggs,avg_offspring,random,m.off.tot,m.age,m.off.avg,m.egg.tot,m.egg.avg,eggs_7d,off_7d,thorax,wing
20% SYA,1,L,40,22/07/2018,am,n,1,0,1,2,21/05/2018,26/05/2018,62,57,435,335,0.770114943,7.02,5.4,tc,114,6,19,142,23.67,80,67,0.965,1.47
20% SYA,1,L,41,18/07/2018,pm,n,1,0,1,1,21/05/2018,26/05/2018,58,53,441,350,0.793650794,7.6,6.03,tb,101,6,16.83,118,19.67,92,84,0.975,1.455
100% SYA,2,L,42,28/05/2018,pm,y,0,0,0,2,22/05/2018,26/05/2018,6,2,7,7,1,1.17,1.17,tb,0,0,NA,0,NA,7,7,1.015,1.51
20% SYA,1,L,43,31/07/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,70,66,479,353,0.736951983,6.84,5.04,tb,100,7,14.29,120,17.14,105,94,1.02,1.5
100% SYA,2,L,44,02/08/2018,am,n,1,0,1,4,22/05/2018,26/05/2018,72,68,569,442,0.776801406,7.9,6.14,ta,139,8,17.38,152,19,90,65,1.06,1.57
20% SYA,1,L,45,27/07/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,66,62,558,434,0.777777778,8.45,6.58,ta,168,7,24,203,29,47,23,0.955,1.465
20% SYA,1,L,46,21/07/2018,pm,n,1,0,1,2,22/05/2018,26/05/2018,60,56,281,229,0.814946619,4.68,3.82,tc,49,6,8.17,60,10,68,65,0.995,1.5
20% SYA,1,L,47,30/05/2018,pm,n,1,1,0,4,22/05/2018,26/05/2018,8,4,1,1,1,0.13,0.13,tc,0,0,NA,0,NA,1,1,0.925,1.39
100% SYA,2,L,48,24/07/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,63,59,486,407,0.83744856,7.71,6.46,ta,160,7,22.86,193,27.57,90,82,1.015,NA
20% SYA,1,L,49,06/08/2018,pm,n,1,0,1,2,22/05/2018,26/05/2018,76,72,478,353,0.738493724,6.29,4.64,tc,122,8,15.25,150,18.75,63,56,NA,NA
100% SYA,2,L,50,28/05/2018,pm,y,0,0,0,1,22/05/2018,26/05/2018,6,2,10,7,0.7,1.67,1.17,ta,0,0,NA,0,NA,10,7,1.05,1.555
120% SYA,3,L,51,22/07/2018,am,n,1,0,1,1,22/05/2018,26/05/2018,61,57,388,270,0.695876289,6.36,4.43,ta,132,6,22,178,29.67,39,31,1.065,1.5
120% SYA,3,L,52,20/07/2018,am,n,1,0,1,4,22/05/2018,26/05/2018,59,55,435,267,0.613793103,7.37,4.53,tb,69,6,11.5,134,22.33,99,85,1.05,1.595
20% SYA,1,L,53,01/08/2018,am,n,1,0,1,4,22/05/2018,26/05/2018,71,67,219,162,0.739726027,3.08,2.28,ta,66,8,8.25,79,9.88,22,18,0.85,NA
